movie_id,preprocessed_keywords
115,+white+ +team+ +cowboy+ +carpet+ +bound+ +ash+ +impregnated+ +ferret+ +nihilism+ +large+ +find+ +drag+ +russian+ +bowl+ +toes+ +weed+ +unemployed+ +kidnap+ +mistaken+ +angel+ +money+ +millionaire+ heart+attack +slacker+ los+angeles +adult+ +event+ +ball+ +series+ +drink+ +lsd+ +marijuana+ +dude+ vietnam+veteran +strange+ +wheelchair+ +join+
116,+love+ +instructor+ +enter+ high+society +decide+ +river+ +lust+ +british+ love+triangle +place+ +adultery+ +shovel+ +match+ +satire+ +start+ +head+ +point+ +assure+ social+climbing +dark+ upper+class +tennis+ +women+ +wealth+ +actress+ +bring+ london+england +young+ +ambition+ +high+ woody+allen +gold+ +sweat+ +society+
117,+white+ +face+ +pocket+ +war+ +rule+ +chase+ +suit+ +force+ +al+ +shave+ +jury+ +chicago+ +honor+ +veteran+ +law+ +determine+ +easy+ +1930+ tough+cop +police+ +cut+ +asks+ +rooftop+ +agent+ tax+evasion
118,+boy+ +factory+ +unusual+ +win+ london+england +teacher+ +maker+ +young+ factory+worker +led+ grandfather+grandson+relationship +chocolate+ based+on+novel +tour+ father+son+relationship +magnificent+ parent+child+relationship +candy+ overweight+child
120,+evil+ +inherit+ +mt+ +elves+ based+on+novel +mirror+ +word+ +ring+ +uncle+ +hobbit+ +place+ middle-earth+(tolkien) +dwarves+ +orc+ +castle+ +volcano+ +mountain+ sword+and+sorcery death+of+a+friend +fall+ +leave+ +final+ +firework+ +wizard+ +fellowship+ +hand+ mysterious+red +creator+ +order+ +protect+ +destroy+ +form+
121,+elves+ based+on+novel +power+ +army+ +attack+ +trek+ +ring+ +hobbit+ +fort+ middle-earth+(tolkien) +orc+ +guide+ sword+and+sorcery +tower+ +wizard+ +fellowship+ +explosive+ +mission+ +cave+ +destroy+ +member+
122,+king+ +war+ +elves+ based+on+novel +closer+ +quest+ +reveal+ +violence+ +force+ +ring+ +ghost+ +lord+ +broken+ middle-earth+(tolkien) +orc+ +ancient+ sword+and+sorcery +bravery+ +honor+ +dark+ +realm+ +suspicion+ +fellowship+ +trilogy+ +heir+ +save+ +brutal+ +heart+ +struggle+ +member+ +troll+
123,+hobbit+ +reign+ +dwarves+ +middle+ +destroy+ +elves+ +fellowship+ +embark+ +journey+ +mission+ +earth+ +ring+
128,+fight+ +journey+ +pan+ +disappear+ +territory+ wild+boar +find+ +west+ +princess+ good+vs+evil +forest+ +curse+ +friendship+ +god+ +tribe+ +prince+ +iron+ +bring+ +demon+ +cure+ +lady+ +protect+ +destroy+ +conflict+ rural+setting +balance+ +wolf+ +anime+
129,+creature+ +rule+ parent+child+relationship ghost+world +mythology+ +anime+ +full+ +wander+ +girl+ +inside+ +japanese+ +dark+ +bath+ +unusual+ +witch+ amusement+park +magic+ parallel+world +lead+ +parent+ ten+year +chang+ +pig+ +path+ +strange+ +house+ +monster+ +spirit+
134,hidden+treasure +convict+ +incredible+ +mississippi+ +relentless+ +search+ +seductive+ +lawman+ music+record +fraud+ +odyssey+ +prophecy+ deep+south southern+usa +comic+ country+music +1930+ +music+ +base+ +journey+
136,+revenge+ +poison+ +woman+ +inherit+ +marry+ +bigotry+ +newlywed+ +stutter+ +clown+ +side+ told+in+flashback siamese+twins +dwarves+ +disabled+ +circus+ +skeleton+ +friend+ +midget+ +sideshow+ +deformed+ +speech+ midnight+movie attempted+murder +lady+ +beard+ +perform+ +artist+ +drink+ +human+ +infidelity+ +beauty+ +leader+ +discover+
137,+attract+ +pennsylvania+ +winter+ +weather+ +report+ small+town +find+ +distant+ +tv+ time+warp +cameraman+ +narcissist+ cult+film +telecaster+ +clock+ deja+vu time+loop +alarm+ +repeat+ +existentialism+ +day+
138,based+on+play+or+musical +count+ +legend+ classic+horror +sanitarium+ +vampire+ based+on+novel +undead+ +spider+ +castle+ +dracula+ +monster+ +transylvania+ +maniac+
140,+love+ drug+abuse +reunion+ sexual+identity +spain+ film+business +gay+ +individual+ +school+ +religious+ +follow+ +fear+ +professor+ +decade+ +priest+ +mark+ +screenplay+ +friendship+ +discovery+ boarding+school +wit+ sexual+abuse +madrid+ +death+ +transvestism+ +life+ +1960+ +movie+ +director+ +catholicism+ +literature+ +teacher+ +transsexual+ +children+
141,+series+ +vision+ school+performance +large+ +moral+ +manipulate+ +bizarre+ +school+ +crime+ +rabbit+ +bunny+ time+travel +suburbia+ +teenager+ +airplane+ +plague+ +accident+ parent+child+relationship +commit+
142,+rodeo+ +cowboy+ +power+ +supposed+ +wyoming+ +share+ +gay+ star+crossed+lovers +intolerance+ +modern+ marriage+crisis +mountain+ +daughter+ +countryside+ +shepherd+ father+murder +raw+ +live+ loss+of+lover +homophobia+ +job+ +turn+ +meet+ secret+love horseback+riding +day+ +summer+
143,+combat+ +evil+ +trench+ +war+ +fight+ +german+ +confuse+ +army+ +soul+ +purpose+ +sign+ +experience+ +warfare+ +horror+ world+war+i +trauma+ +soldier+ +conceive+ boot+camp steel+helmet +disillusion+ +battlefield+ +young+ +destroy+ +torment+ +eventually+ +sad+ +germany+
144,+love+ +white+ +woman+ +war+ +perspective+ +journey+ +library+ +wing+ immortal+life +desire+ +feel+ +berlin+ +fall+ +lone+ +circus+ +angel+ wim+wender +live+ +black+ +immortal+ berlin+wall +artist+ +post+ +mortal+ +life+ +human+ +dream+
